id,host_id,neighbourhood_group_cleansed,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,bathrooms_text,price,host_is_superhost,number_of_reviews,review_scores_rating,availability_365,estimated_occupancy_l365d,estimated_revenue_l365d
759901,873273,Bronx,Allerton,40.8666,-73.85532,Private room in townhouse,Private room,1,,,1.5 shared baths,53.68,false,49,4.71,270,0,0
23139647,11305944,Bronx,Allerton,40.86384,-73.86364,Entire home,Entire home/apt,12,3,,2 baths,285.92,false,25,4.56,365,0,0
17876530,11305944,Bronx,Allerton,40.86762,-73.85688,Entire home,Entire home/apt,6,2,,1 bath,177.2,false,166,4.65,218,0,0
30109916,22694324,Bronx,Allerton,40.87005,-73.84729,Entire townhouse,Entire home/apt,4,1,,1 bath,101.4,true,287,4.97,105,180,18252
695842144607730490,38013656,Bronx,Allerton,40.86757,-73.85341,Entire rental unit,Entire home/apt,3,1,,1 bath,70.43,false,10,5.0,159,60,4226
41075946,127227897,Bronx,Allerton,40.86823,-73.85762,Entire home,Entire home/apt,4,2,,1.5 baths,573.93,false,7,4.57,355,0,0
52451077,147621812,Bronx,Allerton,40.8634,-73.86801,Private room in rental unit,Private room,2,,,1 shared bath,193.6,false,2,5.0,365,0,0
38573488,148525638,Bronx,Allerton,40.86237,-73.85278,Private room in home,Private room,2,,,1.5 baths,54.57,true,26,4.88,256,60,3274
37240374,148525638,Bronx,Allerton,40.86237,-73.85278,Private room in home,Private room,2,,,1.5 shared baths,54.57,true,53,4.94,255,60,3274
37325442,148525638,Bronx,Allerton,40.86237,-73.85278,Private room in home,Private room,2,1,1,2.5 baths,114.5,true,235,4.89,234,255,29198
601341275822151601,156583372,Bronx,Allerton,40.859352,-73.864983,Entire home,Entire home/apt,4,2,,1 bath,97.0,false,32,4.88,223,60,5820
949234336228113845,156583372,Bronx,Allerton,40.859028414108977,-73.86400837422417,Private room in home,Private room,1,,,1 shared bath,55.33,false,4,5.0,40,0,0
968918209588155433,156583372,Bronx,Allerton,40.858174227707686,-73.864087459470909,Private room in home,Private room,1,,,1 bath,45.73,false,12,4.67,47,255,11661
602029215213888162,156583372,Bronx,Allerton,40.859352,-73.864983,Private room in home,Private room,2,,,1 shared bath,46.47,false,27,4.85,223,180,8365
602019372802508438,156583372,Bronx,Allerton,40.859352,-73.864983,Private room in home,Private room,2,,,1 shared bath,47.2,false,24,4.96,164,240,11328
968922429264222420,156583372,Bronx,Allerton,40.8588,-73.8641,Private room in home,Private room,1,,,1 bath,46.47,false,6,4.83,258,60,2788
1628392912777841397,166371414,Bronx,Allerton,40.870768022293859,-73.847396126608388,Entire rental unit,Entire home/apt,6,3,,1 bath,201.4,true,0,,365,0,0
27343189,204036615,Bronx,Allerton,40.8693,-73.85644,Entire guest suite,Entire home/apt,2,1,,1 bath,77.29,false,158,4.77,202,62,4792
734810929658737801,233528692,Bronx,Allerton,40.86477,-73.86185,Private room in rental unit,Private room,1,,,1 private bath,88.92,,11,4.91,179,0,0
54281443,263266237,Bronx,Allerton,40.86982,-73.84657,Private room in rental unit,Private room,4,2,,1 bath,100.11,false,4,5.0,365,0,0
35996222,270796745,Bronx,Allerton,40.867287526292031,-73.851127598790484,Private room in rental unit,Private room,2,1,2,1 shared bath,165.5,false,234,4.72,238,255,42203
774129193889231826,298146946,Bronx,Allerton,40.864949717183634,-73.865408375859261,Private room in rental unit,Private room,1,,,1.5 shared baths,95.87,false,0,,360,0,0
781949645524311249,299371992,Bronx,Allerton,40.87137,-73.84849,Entire rental unit,Entire home/apt,8,3,,1.5 baths,139.19,false,10,4.8,348,0,0
984278704291135597,299371992,Bronx,Allerton,40.870717286503023,-73.847323271445021,Entire rental unit,Entire home/apt,4,2,,1 bath,109.17,false,0,,261,0,0
1294910428499824072,299371992,Bronx,Allerton,40.86938,-73.84792,Entire rental unit,Entire home/apt,2,1,,1 bath,79.1,false,1,5.0,350,60,4746
1492051020588870430,342223816,Bronx,Allerton,40.87021,-73.84757,Entire rental unit,Entire home/apt,4,2,,1 bath,153.4,true,2,5.0,159,120,18408
792250086445040724,438274260,Bronx,Allerton,40.86023,-73.85618,Private room in home,Private room,2,,,1 shared bath,553.1,false,0,,365,0,0
683996557814541468,459355799,Bronx,Allerton,40.86837,-73.85339,Casa particular,Entire home/apt,2,1,,1 bath,125.32,false,33,4.52,365,0,0
801606628280383620,471441645,Bronx,Allerton,40.867470999999988,-73.861057,Entire rental unit,Entire home/apt,3,1,,1 bath,147.17,true,40,4.93,314,0,0
746852890077275772,471441645,Bronx,Allerton,40.86777,-73.86018,Entire rental unit,Entire home/apt,2,1,,1 bath,104.12,true,32,4.75,365,120,12494
